customer_id,gender,age_group,membership_type,preferred_sport,city
10001,Male,36-45,Premium,Squash,Powai
10002,Female,36-45,Basic,Pickleball,Navi Mumbai
10003,Female,18-25,Premium,Badminton,Navi Mumbai
10004,Female,36-45,Elite,Tennis,Kalyan
10005,Female,26-35,Basic,Badminton,Mulund
10006,Female,18-25,Premium,Table Tennis,Thane
10007,Male,26-35,Basic,Pickleball,Kalyan
10008,Male,36-45,Basic,Padel,Thane
10009,Male,26-35,Basic,Squash,Mulund
10010,Male,26-35,Basic,Pickleball,Thane
10011,Male,46+,Basic,Tennis,Navi Mumbai
10012,Female,18-25,Basic,Squash,Thane
10013,Male,18-25,Basic,Table Tennis,Dombivli
10014,Female,18-25,Elite,Tennis,Dombivli
10015,Male,36-45,Premium,Table Tennis,Mumbai
10016,Male,36-45,Basic,Tennis,Navi Mumbai
10017,Male,46+,Basic,Padel,Kalyan
10018,Female,46+,Premium,Pickleball,Dombivli
10019,Female,18-25,Basic,Table Tennis,Mulund
10020,Male,46+,Premium,Tennis,Thane
10021,Female,26-35,Premium,Squash,Navi Mumbai
10022,Female,18-25,Premium,Pickleball,Kalyan
10023,Female,46+,Premium,Badminton,Mulund
10024,Female,46+,Basic,Squash,Kalyan
10025,Male,18-25,Premium,Pickleball,Kalyan
10026,Male,18-25,Basic,Padel,Dombivli
10027,Male,46+,Premium,Badminton,Mulund
10028,Male,18-25,Premium,Table Tennis,Powai
10029,Female,36-45,Basic,Pickleball,Dombivli
10030,Female,18-25,Premium,Padel,Mulund
10031,Male,26-35,Basic,Table Tennis,Mulund
10032,Male,18-25,Basic,Squash,Kalyan
10033,Female,18-25,Elite,Badminton,Navi Mumbai
10034,Female,46+,Basic,Tennis,Mulund
10035,Male,26-35,Basic,Badminton,Mumbai
10036,Male,18-25,Basic,Badminton,Kalyan
10037,Female,18-25,Premium,Squash,Mumbai
10038,Male,18-25,Basic,Pickleball,Mumbai
10039,Female,36-45,Basic,Padel,Dombivli
10040,Male,36-45,Basic,Tennis,Kalyan
10041,Male,46+,Basic,Table Tennis,Kalyan
10042,Female,46+,Basic,Squash,Powai
10043,Male,18-25,Basic,Badminton,Mulund
10044,Male,18-25,Basic,Table Tennis,Mulund
10045,Male,26-35,Basic,Squash,Mumbai
10046,Female,46+,Basic,Table Tennis,Kalyan
10047,Male,26-35,Basic,Squash,Dombivli
10048,Female,36-45,Basic,Pickleball,Mulund
10049,Male,26-35,Premium,Padel,Thane
10050,Female,18-25,Basic,Squash,Thane
10051,Female,46+,Premium,Pickleball,Thane
10052,Male,18-25,Basic,Badminton,Navi Mumbai
10053,Male,18-25,Basic,Padel,Dombivli
10054,Female,36-45,Basic,Tennis,Dombivli
10055,Male,36-45,Basic,Squash,Mulund
10056,Female,26-35,Basic,Pickleball,Dombivli
10057,Female,36-45,Basic,Tennis,Mulund
10058,Female,46+,Premium,Table Tennis,Mumbai
10059,Male,36-45,Basic,Table Tennis,Dombivli
