inventory_id,store_id,product_id,current_stock,reorder_level,lead_time_days,stock_status
1,1,1078,112,30,6,Healthy
2,2,1138,5,25,12,Low Stock
3,1,1013,86,30,10,Healthy
4,1,1097,84,30,15,Healthy
5,2,1124,19,25,10,Low Stock
6,2,1022,117,30,7,Healthy
7,3,1083,80,30,11,Healthy
8,1,1043,132,30,14,Healthy
9,4,1064,397,50,5,Overstock
10,2,1002,69,30,14,Healthy
11,4,1005,145,30,3,Healthy
12,1,1017,17,25,15,Low Stock
13,4,1063,131,30,12,Healthy
14,4,1103,5,25,10,Low Stock
15,1,1054,78,30,6,Healthy
16,6,1066,116,30,6,Healthy
17,5,1109,90,30,4,Healthy
18,2,1043,366,50,15,Overstock
19,6,1136,88,30,10,Healthy
20,5,1029,84,30,6,Healthy
21,6,1146,51,30,14,Healthy
22,3,1141,103,30,12,Healthy
23,1,1141,105,30,6,Healthy
24,3,1132,92,30,14,Healthy
25,3,1010,115,30,11,Healthy
26,3,1064,75,30,13,Healthy
27,5,1085,107,30,7,Healthy
28,4,1141,82,30,7,Healthy
29,3,1136,61,30,13,Healthy
30,5,1028,70,30,12,Healthy
31,6,1002,95,30,3,Healthy
32,2,1077,91,30,12,Healthy
33,4,1124,2,25,13,Low Stock
34,1,1061,6,25,5,Low Stock
35,1,1013,76,30,8,Healthy
36,6,1067,75,30,5,Healthy
37,6,1121,63,30,12,Healthy
38,1,1114,20,25,5,Low Stock
39,3,1131,135,30,15,Healthy
40,4,1129,103,30,11,Healthy
41,1,1092,139,30,3,Healthy
42,4,1086,12,25,9,Low Stock
43,6,1097,7,25,5,Low Stock
44,4,1019,16,25,13,Low Stock
45,6,1031,71,30,7,Healthy
46,2,1071,83,30,3,Healthy
47,1,1047,115,30,15,Healthy
48,6,1118,131,30,6,Healthy
49,3,1096,114,30,15,Healthy
50,1,1145,132,30,7,Healthy
51,4,1112,15,25,8,Low Stock
52,1,1076,120,30,6,Healthy
53,6,1073,129,30,9,Healthy
54,5,1090,54,30,8,Healthy
55,2,1124,215,50,12,Overstock
56,3,1150,125,30,12,Healthy
57,2,1135,142,30,8,Healthy
58,2,1059,131,30,14,Healthy
59,6,1090,16,25,3,Low Stock
60,6,1117,16,25,3,Low Stock
61,2,1117,77,30,13,Healthy
62,1,1108,52,30,10,Healthy
63,1,1113,50,30,9,Healthy
64,1,1071,138,30,9,Healthy
65,2,1065,128,30,5,Healthy
66,6,1034,129,30,6,Healthy
67,1,1091,123,30,11,Healthy
68,5,1017,13,25,14,Low Stock
69,2,1142,68,30,5,Healthy
70,6,1049,98,30,9,Healthy
71,4,1116,129,30,3,Healthy
72,1,1134,118,30,7,Healthy
73,3,1029,19,25,9,Low Stock
74,2,1042,150,30,5,Healthy
75,1,1106,2,25,7,Low Stock
76,5,1112,212,50,5,Overstock
77,5,1081,70,30,4,Healthy
78,6,1020,0,25,10,Low Stock
79,6,1148,100,30,4,Healthy
80,1,1003,0,25,9,Low Stock
81,1,1044,20,25,10,Low Stock
82,3,1113,5,25,13,Low Stock
83,6,1118,128,30,13,Healthy
84,6,1077,8,25,5,Low Stock
85,2,1114,70,30,14,Healthy
86,2,1145,363,50,9,Overstock
87,6,1111,78,30,9,Healthy
88,6,1025,337,50,11,Overstock
89,4,1054,367,50,12,Overstock
90,2,1003,93,30,13,Healthy
91,5,1042,16,25,8,Low Stock
92,5,1109,2,25,15,Low Stock
93,3,1098,346,50,10,Overstock
94,1,1139,144,30,8,Healthy
95,4,1057,67,30,8,Healthy
96,2,1104,134,30,12,Healthy
97,4,1067,120,30,6,Healthy
98,6,1136,220,50,3,Overstock
99,2,1043,17,25,12,Low Stock
100,1,1039,16,25,13,Low Stock
101,6,1075,16,25,6,Low Stock
102,4,1058,124,30,15,Healthy
103,3,1141,112,30,13,Healthy
104,1,1102,112,30,4,Healthy
105,5,1097,1,25,11,Low Stock
106,2,1096,74,30,5,Healthy
107,4,1003,75,30,13,Healthy
108,4,1057,89,30,9,Healthy
109,4,1056,16,25,9,Low Stock
110,5,1052,11,25,4,Low Stock
111,4,1007,83,30,8,Healthy
112,2,1023,126,30,14,Healthy
113,1,1055,126,30,4,Healthy
114,3,1138,9,25,14,Low Stock
115,1,1045,148,30,10,Healthy
116,3,1110,6,25,9,Low Stock
117,3,1120,77,30,3,Healthy
118,3,1143,66,30,10,Healthy
119,5,1104,149,30,11,Healthy
120,6,1101,54,30,3,Healthy
121,1,1033,84,30,7,Healthy
122,3,1133,230,50,5,Overstock
123,2,1135,110,30,8,Healthy
124,5,1144,64,30,12,Healthy
125,4,1064,2,25,7,Low Stock
126,4,1018,102,30,10,Healthy
127,2,1038,144,30,3,Healthy
128,1,1072,1,25,12,Low Stock
129,1,1094,359,50,15,Overstock
130,3,1092,391,50,13,Overstock
131,2,1055,13,25,7,Low Stock
132,1,1058,82,30,3,Healthy
133,6,1044,103,30,11,Healthy
134,4,1022,135,30,4,Healthy
135,6,1132,59,30,7,Healthy
136,4,1150,111,30,12,Healthy
137,6,1090,116,30,6,Healthy
138,6,1134,92,30,5,Healthy
139,2,1088,9,25,6,Low Stock
140,2,1130,122,30,13,Healthy
